,Date,Ticker,NAV,Share out standing,Asset of class,Asset of fund,Distribution yield,YTM
0,demo,demo,demo,demo,demo,demo,demo,demo
693,2021/1/2,LQDA,6.56,"347,109,586","2,276,326,220","9,565,855,790",2.78,1.93%
694,2021/1/2,EMCA,6.1,"75,045,780","457,712,703","1,435,012,386",3.97,3.26%
695,2021/1/2,IUAA,5.9,"374,654,672","2,211,536,737","3,625,331,955",2.05,1.04%
696,2021/1/3,EIMI,35.7,"493,671,892","17,625,699,726","18,102,361,052",1.7,-
697,2021/1/3,IWDA,73.25,"394,998,755","28,934,257,294","29,966,623,689",1.35,-
698,2021/1/3,DPYA,5.31,"23,895,845","126,933,059","2,389,338,118",2.9,-
699,2021/1/3,LQDA,6.56,"347,109,586","2,276,326,220","9,565,855,790",2.78,1.93%
700,2021/1/3,EMCA,6.1,"75,045,780","457,712,703","1,435,012,386",3.97,3.26%
701,2021/1/3,IUAA,5.9,"374,654,672","2,211,536,737","3,625,331,955",2.05,1.04%
702,2021/1/4,EIMI,35.7,"493,671,892","17,625,699,726","18,102,361,052",1.7,-
703,2021/1/6,EIMI,36.48,"493,671,892","18,009,752,701","18,496,800,179",1.68,-
704,2021/1/6,IWDA,73.1,"395,071,280","28,879,974,813","29,919,889,906",1.36,-
705,2021/1/7,EIMI,36.36,"496,718,892","18,061,285,177","18,545,930,086",1.67,-
706,2021/1/7,IWDA,73.53,"397,226,280","29,206,722,630","30,254,169,390",1.35,-
707,2021/1/7,DPYA,5.23,"24,095,845","125,921,909","2,356,520,901",2.96,-
708,2021/1/7,LQDA,6.44,"346,565,980","2,231,509,493","9,460,359,975",2.81,1.97%
709,2021/1/7,EMCA,6.09,"75,360,527","458,767,302","1,436,166,277",3.96,3.24%
710,2021/1/9,EIMI,36.56,"496,718,892","18,162,266,986","18,649,621,576",1.66,-
711,2021/1/9,IWDA,74.48,"399,111,280","29,726,028,278","30,787,060,542",1.33,-
712,2021/1/9,DPYA,5.2,"24,095,845","125,278,288","2,344,475,666",2.96,-
713,2021/1/9,LQDA,6.44,"346,368,732","2,232,160,108","9,447,759,425",2.83,2.04%
714,2021/1/9,EMCA,6.08,"75,386,527","458,457,599","1,434,701,099",3.98,3.31%
715,2021/1/9,IUAA,5.85,"374,653,581","2,192,966,306","3,603,426,267",2.06,1.10%
716,2021/1/11,EIMI,37.37,"496,718,892","18,560,484,742","19,058,524,851",1.66,-
717,2021/1/11,IWDA,75,"399,877,510","29,992,143,313","31,079,275,826",1.33,-
718,2021/1/11,DPYA,5.23,"24,095,845","125,949,702","2,357,040,539",2.96,-
